rows,fd_time_sec_cum,aad_time_sec_cum,wall_time_sec_cum
2390000,26210.561716,8839.464258,46598.943542
2400000,26320.647924,8876.539202,46795.305923
2410000,26430.581004,8913.615003,46992.154262
2420000,26540.506769,8950.698812,47187.628949
2430000,26650.487574,8987.730335,47382.913365
2440000,26760.337736,9024.770529,47578.059223
2450000,26870.078964,9061.778794,47773.487023
2460000,26979.982120,9098.803148,47968.943128
2470000,27090.042852,9135.856045,48165.155946
2480000,27199.994851,9172.902867,48361.306573
2490000,27309.981676,9209.949292,48557.435308
2500000,27420.037307,9247.006348,48753.594881
2510000,27529.982205,9284.059449,48950.215847
2520000,27639.932831,9321.115475,49145.332709
2530000,27750.065119,9358.219073,49340.818563
2540000,27860.020240,9395.268877,49536.104051
2550000,27970.028741,9432.325273,49731.606129
2560000,28082.092849,9469.834508,49932.191740
2570000,28191.946928,9506.883304,50127.148379
2580000,28301.659109,9543.915389,50321.838911
2590000,28411.614468,9580.973535,50517.079111
2600000,28521.383151,9617.975432,50712.012412
2610000,28630.999837,9654.943220,50908.056649
2620000,28740.664289,9691.966528,51102.903823
2630000,28850.282011,9729.002608,51297.733564
2640000,28959.844192,9765.973280,51492.391708
2650000,29069.643876,9803.016515,51687.569119
2660000,29179.305558,9840.021671,51882.551581
2670000,29288.963349,9876.997427,52077.535621
2680000,29398.838753,9914.021180,52273.215207
2690000,29508.580728,9950.974367,52469.087343
2700000,29618.409146,9987.982220,52665.118446
2710000,29727.911926,10024.937813,52861.389819
2720000,29837.538549,10061.944568,53056.401554
2730000,29947.418407,10098.994752,53251.694412
2740000,30057.368809,10136.062946,53447.341785
2750000,30167.341248,10173.132918,53643.122783
2760000,30277.185325,10210.161480,53838.728822
2770000,30389.172316,10247.686776,54039.966549
2780000,30499.148927,10284.747305,54235.580228
2790000,30609.503741,10321.894851,54431.785214
2800000,30719.527131,10358.952409,54626.952240
2810000,30829.517699,10396.069547,54823.937884
2820000,30939.469042,10433.156565,55019.400717
2830000,31049.283190,10470.195918,55214.621950
2840000,31158.944493,10507.228107,55409.542623
2850000,31268.775581,10544.264735,55604.728348
2860000,31378.686821,10581.301859,55800.019698
2870000,31488.590897,10618.348654,55995.400989
2880000,31598.581688,10655.403074,56191.406230
2890000,31708.541689,10692.469968,56388.026189
2900000,31818.692154,10729.538224,56584.576257
2910000,31928.668442,10766.606137,56781.318007
2920000,32038.500681,10803.635752,56976.455534
2930000,32148.622035,10840.751566,57172.451135
2940000,32258.687370,10877.817481,57368.147995
2950000,32368.670012,10914.867307,57563.831227
2960000,32478.595893,10951.908233,57759.990791
2970000,32588.651858,10988.970738,57956.389215
2980000,32698.565473,11026.033523,58152.801757
2990000,32809.095399,11063.190279,58350.290672
3000000,32919.038173,11100.239065,58545.862109
3010000,33029.208393,11137.347902,58742.875086
3020000,33141.126875,11174.848491,58943.159025
3030000,33250.979925,11211.911315,59138.376935
3040000,33360.970558,11248.980326,59333.930861
3050000,33470.883088,11286.050613,59529.365350
3060000,33580.637400,11323.088031,59724.517714
3070000,33690.334918,11360.126923,59919.697208
3080000,33799.830048,11397.146140,60114.627505
3090000,33909.564456,11434.179553,60309.850120
3100000,34019.400652,11471.216818,60505.292932
3110000,34129.292068,11508.288643,60702.114759
3120000,34238.755711,11545.288162,60896.761733
3130000,34348.338321,11582.281417,61091.620034
3140000,34458.222190,11619.355332,61287.261961
3150000,34568.190844,11656.415406,61483.120373
3160000,34678.121590,11693.465094,61678.751517
3170000,34787.961830,11730.516325,61874.997827
3180000,34897.867479,11767.562139,62071.766732
3190000,35007.681286,11804.606814,62267.774395
3200000,35117.584121,11841.658760,62464.148774
3210000,35227.437614,11878.723073,62660.912235
3220000,35337.220502,11915.794621,62856.241354
3230000,35446.858330,11952.856930,63051.874608
3240000,35556.785687,11989.914987,63247.130955
3250000,35666.820177,12026.990022,63443.026769
3260000,35778.607262,12064.507154,63643.386852
3270000,35888.435034,12101.526541,63838.671983
3280000,35998.233867,12138.574910,64033.674120
3290000,36109.154850,12176.425484,64230.081328
3300000,36221.942441,12214.583649,64431.550369
3310000,36333.723160,12252.421399,64630.587389
3320000,36443.954295,12289.449970,64825.593774
3330000,36553.334350,12326.401791,65019.549827
3340000,36662.599299,12363.355194,65213.689885
3350000,36774.113851,12400.793272,65413.280528
3360000,36887.080185,12438.596582,65616.485482
3370000,36999.107777,12476.207319,65817.536051
3380000,37110.836577,12513.698408,66018.147091
3390000,37222.904920,12551.276804,66219.337067
3400000,37332.195237,12588.187713,66414.212862
3410000,37441.714958,12625.161726,66609.692245
3420000,37551.117970,12662.106518,66803.612545
3430000,37660.592830,12699.036606,66997.497365
3440000,37769.887381,12735.968052,67191.476519
3450000,37879.300873,12772.893391,67386.108366
3460000,37988.754991,12809.835915,67581.049644
3470000,38098.280201,12846.779425,67776.036177
3480000,38207.740908,12883.702834,67971.062618
