greek,h_best,rmse
delta_0,0.03,0.000474259513707689
gamma_0,0.1,4.117947410895823e-05
vega_0,0.2,0.13830926203306407
rho,1.0,0.11102379900427183
theta,0.2,0.01762989816198609
