S0_0,S0_1,S0_2,sigma_0,sigma_1,sigma_2,price,price_se,delta_0,delta_1,delta_2,delta_se_0,delta_se_1,delta_se_2,vega_0,vega_1,vega_2,vega_se_0,vega_se_1,vega_se_2,gamma_0,gamma_1,gamma_2,gamma_se_0,gamma_se_1,gamma_se_2,rho,rho_se,theta,theta_se,T,r
229.59397958860058,185.9971344258068,151.57304317646418,0.09541011649041131,0.37081825219826636,0.6688412526636073,26.140625,0.01766922642619082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.9609375,-99.5625,0.0,0.1166880456602132,0.27401135925359005,0.0,0.0,0.0,0.0,0.0,0.0,-133.75,0.46517104381076857,-0.73876953125,0.002569350598886808,5.432539682539683,0.03
295.1708994417915,247.50557256890366,324.8261773318736,0.8872127425763265,0.4722149251619493,0.1195942459383017,94.75,0.025258692810594927,0.0,0.0,2.14453125,0.0,0.0,0.002071538920352489,-26.734375,-12.765625,-inf,0.12443562592762572,0.1209571205014405,,0.0,0.0,-132.125,0.0,0.0,0.1275979035877941,inf,,-7.3515625,0.02219523632730681,0.7777777777777778,0.03
208.3183758601713,238.2287535237457,111.64444749015374,0.04043358953843135,0.7106628896857874,0.11089082081183133,12.9921875,0.003201806130920484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.765625,0.0,0.0,0.14957573332596433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.96875,0.10894046539280067,0.6706349206349206,0.03
108.1178683711934,177.7565157874186,155.78230631241348,0.47537022318211175,0.5632755719763837,0.6955160864261275,16.203125,0.021879008561289975,0.0,0.0,0.0,0.0,0.0,0.0,-inf,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-inf,,-0.423828125,0.0029473416004538095,5.432539682539683,0.03
126.21186449905768,78.07291912690526,111.11225778294056,0.07697990982879299,0.289751452913768,0.16122128725400442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.03
239.13442173769747,79.17703094188445,257.61981728906443,0.10549425983027061,0.45653457048291024,0.2184404372168336,11.21875,0.008236745092969825,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,,-1.26171875,0.01619679089067492,1.5873015873015872,0.03
173.0722194163516,267.59982686297985,116.06421773034006,0.22793516254194168,0.4271077886262563,0.8180147659224931,14.953125,0.016097969713794655,0.0,0.0,0.0,0.0,0.0,0.0,-inf,,-inf,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.416015625,0.0020060698906693157,6.670634920634921,0.03
139.95754305031892,106.6996319282985,127.97674608088722,0.534089419375442,0.4848299713589832,0.6924360328902703,20.921875,0.03221570366296536,0.0,2.3046875,0.0,0.0,0.006403612261840968,0.0,-inf,0.0,-inf,,0.0,,0.0,-inf,0.0,0.0,,0.0,-inf,,-0.60205078125,0.004333308606199482,7.0,0.03
206.7764688680032,151.73563023962575,183.57799187425292,0.7030189588951778,0.363629602379294,0.9717820827209607,30.46875,0.012105594167832077,0.0,0.0,0.0,0.0,0.0,0.0,-29.1875,68.6875,0.0,0.12570053699169306,1.0264753284906558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.083984375,0.06743557110309069,-0.109375,0.0035402686617353805,0.5714285714285714,0.03
59.98009273331195,163.3499421226864,71.40856891737624,0.30087830981676966,0.2848404943774676,0.036886947354532795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.03
